language,file,covered,total,percentage
cpp,eos/utils/intermediate-result.hh,1,1,100.00
cpp,eos/utils/join.hh,9,9,100.00
cpp,eos/utils/kinematic.cc,136,175,77.71
cpp,eos/utils/kinematic.hh,3,3,100.00
cpp,eos/utils/kmatrix-impl.hh,112,130,86.15
cpp,eos/utils/kmatrix.cc,5,9,55.56
cpp,eos/utils/kmatrix.hh,15,18,83.33
cpp,eos/utils/lock.cc,7,16,43.75
cpp,eos/utils/log.cc,101,123,82.11
cpp,eos/utils/log.hh,3,3,100.00
cpp,eos/utils/memoise.cc,15,15,100.00
cpp,eos/utils/memoise.hh,36,37,97.30
cpp,eos/utils/mutable.cc,1,1,100.00
cpp,eos/utils/mutex.cc,13,13,100.00
cpp,eos/utils/mutex.hh,2,2,100.00
cpp,eos/utils/observable_cache.cc,128,150,85.33
cpp,eos/utils/observable_set.cc,29,34,85.29
cpp,eos/utils/observable_stub.cc,26,26,100.00
cpp,eos/utils/options-impl.hh,36,46,78.26
cpp,eos/utils/options.cc,188,237,79.32
cpp,eos/utils/options.hh,1,2,50.00
cpp,eos/utils/parameters.cc,481,540,89.07
cpp,eos/utils/parameters.hh,11,11,100.00
cpp,eos/utils/private_implementation_pattern-impl.hh,4,4,100.00
cpp,eos/utils/qcd.cc,92,94,97.87
cpp,eos/utils/qualified-name-parts.hh,40,40,100.00
cpp,eos/utils/qualified-name.cc,106,111,95.50
cpp,eos/utils/qualified-name.hh,23,23,100.00
cpp,eos/utils/quantum-numbers.cc,34,34,100.00
cpp,eos/utils/quantum-numbers.hh,22,22,100.00
cpp,eos/utils/reference-name.cc,64,68,94.12
cpp,eos/utils/reference-name.hh,28,28,100.00
cpp,eos/utils/rge-impl.hh,267,267,100.00
cpp,eos/utils/stringify.hh,21,21,100.00
cpp,eos/utils/strong-typedef.hh,7,7,100.00
cpp,eos/utils/test-observable.cc,38,55,69.09
cpp,eos/utils/thread.cc,24,38,63.16
cpp,eos/utils/thread_pool.cc,82,95,86.32
cpp,eos/utils/ticket.cc,17,34,50.00
cpp,eos/utils/tuple-maker.hh,11,11,100.00
cpp,eos/utils/units.cc,39,53,73.58
cpp,eos/utils/units.hh,3,3,100.00
cpp,eos/utils/verify.cc,9,9,100.00
cpp,eos/utils/verify.hh,15,15,100.00
cpp,eos/utils/wilson-polynomial.cc,94,94,100.00
cpp,eos/utils/wrapped_forward_iterator-impl.hh,58,61,95.08
python,python/eos/__init__.py,70,97,72.16
python,python/eos/_api.py,2,2,100.00
python,python/eos/analysis.py,229,410,55.85
python,python/eos/analysis_file.py,275,280,98.21
python,python/eos/analysis_file_context.py,13,13,100.00
python,python/eos/analysis_file_description.py,618,655,94.35
python,python/eos/cli/__init__.py,0,0,0.00
python,python/eos/cli/analysis.py,251,292,85.96
python,python/eos/cli/data.py,147,183,80.33
python,python/eos/cli/data_checks.py,496,526,94.30
python,python/eos/cli/data_checks_dataset.py,279,322,86.65
python,python/eos/cli/data_github.py,138,222,62.16
python,python/eos/cli/data_register.py,204,234,87.18
python,python/eos/cli/data_release.py,494,542,91.14
python,python/eos/cli/data_release_execution.py,113,131,86.26
python,python/eos/cli/figure.py,79,92,85.87
python,python/eos/cli/list_constraints.py,55,62,88.71
python,python/eos/cli/list_observables.py,33,40,82.50
python,python/eos/cli/list_parameters.py,112,120,93.33
python,python/eos/cli/list_references.py,45,47,95.74
python,python/eos/cli/list_signal_pdfs.py,46,53,86.79
python,python/eos/cli/mcp.py,0,4,0.00
python,python/eos/config.py,2,2,100.00
python,python/eos/constraint.py,36,38,94.74
python,python/eos/data/__init__.py,9,9,100.00
python,python/eos/data/_common.py,28,30,93.33
python,python/eos/data/dynesty_results.py,47,47,100.00
python,python/eos/data/importance_samples.py,49,52,94.23
python,python/eos/data/markov_chain.py,52,55,94.55
python,python/eos/data/mixture_density.py,89,126,70.63
python,python/eos/data/mode.py,70,70,100.00
python,python/eos/data/nabu_likelihood.py,33,40,82.50
python,python/eos/data/pmc_sampler.py,77,90,85.56
python,python/eos/data/prediction.py,87,93,93.55
python,python/eos/data/sample_mask.py,36,36,100.00
python,python/eos/data/serialize.py,0,0,0.00
python,python/eos/datasets.py,41,125,32.80
python,python/eos/datasets_file_description.py,18,18,100.00
python,python/eos/deserializable.py,50,57,87.72
python,python/eos/diagnostic.py,83,89,93.26
python,python/eos/figure/__init__.py,14,15,93.33
python,python/eos/figure/common.py,44,44,100.00
python,python/eos/figure/config.py,17,17,100.00
python,python/eos/figure/data.py,45,63,71.43
python,python/eos/figure/figure.py,221,237,93.25
python,python/eos/figure/item.py,1396,1397,99.93
python,python/eos/figure/plot.py,239,244,97.95
python,python/eos/ipython.py,15,91,16.48
python,python/eos/log_likelihood.py,6,6,100.00
python,python/eos/mcp/__init__.py,0,1,0.00
python,python/eos/mcp/server.py,0,75,0.00
python,python/eos/observable.py,71,71,100.00
python,python/eos/parameter.py,106,106,100.00
python,python/eos/pyhf_likelihood.py,59,78,75.64
python,python/eos/reference.py,27,27,100.00
python,python/eos/reporting.py,93,103,90.29
python,python/eos/serializable.py,16,17,94.12
python,python/eos/signal_pdf.py,95,97,97.94
python,python/eos/tasks.py,387,553,69.98
python,python/eos/validation_context.py,65,67,97.01
